Provincia,Departamento,Cant_EE,Cant_Biblioteca_Popular,Población
Tucumán,Río Chico,63,2,64927
Buenos Aires,Lincoln,62,7,45191
Chubut,Cushamen,62,7,28099
Formosa,Laishi,62,2,19275
Santiago del Estero,Salavina,62,0,12775
Tucumán,Lules,62,0,93464
Misiones,Candelaria,61,4,34945
Buenos Aires,Coronel Suárez,61,3,41713
Corrientes,Paso de los Libres,61,3,56778
Córdoba,Juárez Celman,61,3,68317
San Juan,Chimbas,61,2,103772
Mendoza,San Carlos,60,5,39752
Buenos Aires,9 de Julio,60,2,52366
Mendoza,Junín,59,3,46472
Santa Fe,San Javier,59,3,33180
Buenos Aires,San Vicente,59,2,97929
San Juan,Caucete,59,1,44017
Tucumán,Yerba Buena,59,1,102589
Buenos Aires,Chascomús,59,0,42191
Buenos Aires,Chacabuco,58,2,52409
Jujuy,Humahuaca,58,2,20877
Mendoza,Rivadavia,58,2,63589
Santiago del Estero,Ojo de Agua,58,2,15008
Buenos Aires,General Rodríguez,58,1,142315
Chaco,9 de Julio,57,4,30223
Buenos Aires,Cañuelas,57,2,70542
Buenos Aires,Balcarce,57,1,48516
Corrientes,Saladas,57,1,29126
Buenos Aires,General Villegas,56,5,35055
Buenos Aires,Bolívar,56,4,37194
Chaco,Quitilipi,56,3,32430
Corrientes,Empedrado,56,1,17948
Buenos Aires,Coronel de Marina Leonardo Rosales,55,4,65823
Catamarca,Santa Rosa,55,3,13317
San Luis,Ayacucho,55,3,23653
Catamarca,Andalgalá,55,1,19545
Corrientes,San Luis del Palmar,55,1,21381
Santiago del Estero,Quebrachos,55,1,12336
San Juan,25 de Mayo,55,0,20824
Santiago del Estero,San Martín,55,0,11183
Mendoza,Tunuyán,54,3,59972
Buenos Aires,Saladillo,54,1,35423
Salta,Santa Victoria,53,1,9411
Buenos Aires,La Costa,52,6,100400
Chaco,Chacabuco,52,3,34493
Neuquén,Zapala,52,2,45540
Formosa,Matacos,52,0,17017
Río Negro,Avellaneda,51,6,41160
Santa Fe,Belgrano,51,6,48544
Jujuy,Yavi,51,2,25831
Tucumán,Graneros,51,1,15539
La Rioja,Rosario Vera Peñaloza,51,0,15764
Buenos Aires,Berisso,50,7,100685
Buenos Aires,Baradero,50,3,39223
Corrientes,San Cosme,50,1,19679
Salta,Rosario de Lerma,50,1,50961
San Juan,Sarmiento,50,1,27188
Tucumán,Trancas,50,1,23438
Catamarca,El Alto,49,1,4375
La Rioja,Chamical,49,1,15630
Buenos Aires,Villarino,48,4,32552
Salta,Metán,48,2,48028
Córdoba,Ischilín,47,2,36023
Buenos Aires,Las Flores,47,1,27136
Mendoza,Malargüe,47,1,32596
Chaco,Bermejo,46,3,28060
Córdoba,Presidente Roque Sáenz Peña,46,3,37551
Jujuy,Cochinoca,46,3,14998
Salta,General Güemes,46,3,55746
Corrientes,San Roque,46,2,22682
Buenos Aires,Ayacucho,46,1,21757
Chaco,25 de Mayo,46,1,32606
La Rioja,General San Martín,46,0,5017
Córdoba,General Roca,45,5,36064
Catamarca,Valle Viejo,45,4,33951
Salta,Rosario de la Frontera,45,2,33750
Tucumán,Famaillá,45,2,42669
Chaco,Maipú,45,0,26354
Jujuy,Palpalá,44,4,65522
Buenos Aires,Patagones,44,1,37499
Chaco,O'Higgins,44,1,21544
La Rioja,General Ortiz de Ocampo,44,0,7347
San Luis,Junín,43,7,40289
Buenos Aires,Lobos,43,4,41418
Neuquén,Lácar,43,4,39567
Catamarca,Pomán,43,3,12219
Buenos Aires,Lobería,43,2,18106
Mendoza,Santa Rosa,43,2,19379
Buenos Aires,Magdalena,43,1,22653
Buenos Aires,San Andrés de Giles,43,1,26399
Corrientes,San Martín,43,0,15164
San Juan,Santa Lucía,42,4,62697
Chaco,12 de Octubre,42,1,23179
Buenos Aires,General Alvarado,41,2,45307
Santiago del Estero,Atamisqui,41,1,14894
Buenos Aires,Presidente Perón,41,0,101994
Entre Ríos,Feliciano,41,0,16717
