Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Corrientes,San Cosme,22,902,22,2191,7,1708
Corrientes,Sauce,15,529,18,1251,6,1114
Corrientes,San Miguel,15,718,17,1758,6,1480
Corrientes,Mburucuyá,14,510,17,1317,6,1230
Corrientes,Itatí,13,637,13,1491,6,1164
Corrientes,General Alvear,9,477,12,1086,4,936
Corrientes,Berón de Astrada,3,137,5,301,2,288
Córdoba,Capital,375,58120,331,149261,250,132716
Córdoba,San Justo,93,9838,87,24255,64,21387
Córdoba,Río Cuarto,86,11863,81,28900,74,24194
Córdoba,Colón,72,13616,65,34951,54,29481
Córdoba,Punilla,54,8649,52,22996,43,19945
Córdoba,Unión,45,4780,47,12013,33,10336
Córdoba,Cruz del Eje,47,3124,43,7539,18,6409
Córdoba,General San Martín,45,6949,43,16719,25,13699
Córdoba,San Alberto,33,1903,37,4666,21,3958
Córdoba,Santa María,46,6745,36,16655,36,13320
Córdoba,Río Primero,41,2879,36,6664,26,5637
Córdoba,Tercero Arriba,39,5123,35,12660,34,10615
Córdoba,Río Segundo,35,4752,34,12120,43,10358
Córdoba,Calamuchita,38,3329,33,8474,22,7104
Córdoba,Marcos Juárez,29,4276,30,10712,30,9015
Córdoba,Ischilín,24,1743,26,4159,9,3859
Córdoba,Juárez Celman,22,3118,25,7504,21,6295
Córdoba,Tulumba,20,621,21,1454,7,1262
Córdoba,San Javier,28,2613,21,7043,16,5838
Córdoba,General Roca,18,1592,19,3828,15,3338
Córdoba,Presidente Roque Sáenz Peña,16,1616,19,4130,14,3526
Córdoba,Totoral,17,1032,17,2627,10,2260
Córdoba,Río Seco,17,712,15,1890,7,1619
Córdoba,Pocho,11,208,13,472,5,471
Córdoba,Minas,8,215,8,499,9,454
Córdoba,Sobremonte,4,192,3,468,3,474
Entre Ríos,Paraná,234,16035,222,40780,142,34203
Entre Ríos,Gualeguaychú,104,5322,110,13745,47,11683
Entre Ríos,Uruguay,86,4867,96,12543,51,10989
Entre Ríos,La Paz,83,3579,95,9094,34,7510
Entre Ríos,Villaguay,77,2582,92,6258,26,5445
Entre Ríos,Concordia,103,9948,90,24910,57,19760
Entre Ríos,Nogoyá,69,1874,86,4731,27,3961
Entre Ríos,Federación,63,3853,74,9326,30,7362
Entre Ríos,Federal,47,1448,56,3327,15,2784
Entre Ríos,Diamante,50,2155,56,5216,26,4404
Entre Ríos,Gualeguay,48,2558,54,6359,21,5287
Entre Ríos,Colón,52,3368,52,8095,24,6808
Entre Ríos,Victoria,46,1744,46,4259,31,3629
Entre Ríos,Tala,37,1410,46,3601,15,2963
Entre Ríos,Feliciano,26,825,29,2002,10,1752
Entre Ríos,Islas del Ibicuy,23,707,24,1790,9,1491
Entre Ríos,San Salvador,19,947,19,2487,7,2170
Formosa,Patiño,99,4619,127,11476,75,8864
Formosa,Pirané,66,3897,100,9417,67,7940
Formosa,Formosa,107,11953,90,30764,64,26381
Formosa,Pilcomayo,70,4950,61,11883,45,9453
Formosa,Bermejo,46,987,61,2371,20,1864
Formosa,Ramón Lista,34,1333,59,3239,15,2578
Formosa,Pilagás,27,1003,34,2530,19,2118
Formosa,Matacos,14,1019,24,2539,13,2024
Formosa,Laishi,20,982,23,2496,18,2230
Jujuy,Dr. Manuel Belgrano,89,13306,83,36369,64,29775
Jujuy,El Carmen,44,6190,43,15576,29,12999
Jujuy,San Pedro,35,4211,39,10745,25,8540
Jujuy,Yavi,34,1332,36,3247,8,2798
Jujuy,Humahuaca,28,1040,35,2892,19,2366
Jujuy,Cochinoca,25,755,32,2002,11,1782
Jujuy,Ledesma,24,4449,28,11518,18,9498
Jujuy,Palpalá,21,2855,21,7650,11,6532
Jujuy,Tilcara,14,626,18,1787,7,1565
Jujuy,Santa Catalina,16,172,17,350,9,304
Jujuy,Tumbaya,15,209,15,631,7,468
Jujuy,Santa Bárbara,14,1061,15,2848,10,2152
Jujuy,Rinconada,9,86,11,292,7,187
Jujuy,Susques,9,249,10,604,9,483
Jujuy,Valle Grande,7,111,8,332,6,273
Jujuy,San Antonio,6,308,6,820,2,617
La Pampa,Capital,57,4696,41,12927,36,10902
La Pampa,Maracó,26,2981,26,7633,23,6334
La Pampa,Utracán,10,764,13,2084,10,1668
La Pampa,Realicó,10,709,12,1924,12,1672
La Pampa,Rancul,8,509,11,1281,8,1164
La Pampa,Conhelo,10,607,10,1567,11,1227
La Pampa,Atreucó,6,420,8,1146,7,1002
La Pampa,Puelén,6,614,8,1576,6,1178
La Pampa,Chapaleufú,8,551,8,1353,9,1136
La Pampa,Loventué,6,377,7,993,6,858
La Pampa,Quemú Quemú,5,332,7,825,5,807
La Pampa,Guatraché,6,358,7,894,6,827
La Pampa,Toay,7,899,7,2436,4,1773
La Pampa,Hucal,6,286,5,693,3,617
La Pampa,Catriló,5,372,4,1019,4,794
La Pampa,Trenel,4,249,4,580,4,495
La Pampa,Chical Co,2,66,3,180,2,163
La Pampa,Caleu Caleu,2,110,2,325,1,283
La Pampa,Curacó,2,54,2,125,2,90
La Pampa,Limay Mahuida,2,14,2,46,1,24
La Pampa,Chalileo,1,130,1,354,2,270
La Pampa,Lihuel Calel,1,22,1,52,1,44
La Rioja,Capital,89,8628,83,23293,43,20533
La Rioja,Chilecito,31,2573,32,7038,20,6402
La Rioja,Rosario Vera Peñaloza,25,745,32,1900,21,1616
La Rioja,General Ortiz de Ocampo,12,298,29,765,10,696
La Rioja,General Juan Facundo Quiroga,22,187,25,406,13,417
La Rioja,Chamical,14,720,24,1589,17,1472
La Rioja,General San Martín,13,222,24,643,15,550
La Rioja,General Belgrano,17,346,20,784,14,728
La Rioja,General Felipe Varela,15,479,17,1249,6,1001
La Rioja,Ángel Vicente Peñaloza,11,138,16,392,11,296
La Rioja,Famatina,14,265,14,757,5,711
La Rioja,Arauco,14,764,13,1915,8,1593
La Rioja,Independencia,7,111,10,291,7,257
La Rioja,San Blas de Los Sauces,6,194,7,501,4,422
La Rioja,Castro Barros,6,239,7,626,4,511
La Rioja,Vinchina,6,116,6,294,3,257
La Rioja,General Lamadrid,2,86,2,191,1,187
La Rioja,Sanagasta,1,124,1,361,1,270
Mendoza,San Rafael,108,9770,108,24756,43,19958
Mendoza,Guaymallén,75,14431,67,36996,33,29798
Mendoza,Maipú,62,10215,56,26442,26,21528
Mendoza,Godoy Cruz,55,7559,51,19838,22,16701
Mendoza,San Martín,52,6520,46,17257,19,13262
Mendoza,Capital,51,4557,45,11563,42,9394
Mendoza,Las Heras,49,11303,45,28992,25,23685
Mendoza,Luján de Cuyo,46,7858,41,20822,19,17463
Mendoza,Lavalle,40,2567,38,6674,13,5019
Mendoza,General Alvear,28,2260,30,6260,10,4846
Mendoza,Rivadavia,27,2949,27,7683,9,6036
Mendoza,Junín,25,2075,25,5299,10,4319
Mendoza,San Carlos,23,1961,23,5109,8,4018
Mendoza,Tunuyán,22,2891,22,7833,9,6153
Mendoza,Malargüe,22,1629,22,4345,10,3426
Mendoza,Santa Rosa,20,994,20,2509,4,1897
Mendoza,Tupungato,17,2125,19,5685,9,4481
Mendoza,La Paz,7,574,9,1499,3,1108
Misiones,Guaraní,104,4649,147,11433,61,8836
Misiones,Capital,140,18639,127,47460,85,37696
Misiones,Oberá,98,6333,110,16152,66,12528
Misiones,Cainguás,85,3382,96,8762,60,6766
Misiones,General Manuel Belgrano,67,2917,84,6918,49,5169
Misiones,Iguazú,78,5769,81,14290,31,10929
Misiones,San Pedro,49,2266,80,5727,31,4161
Misiones,San Ignacio,67,3473,80,8670,42,6716
Misiones,Leandro N. Alem,55,2490,68,6082,42,4879
Misiones,25 de Mayo,43,1718,66,4288,34,3286
