id_establecimiento,id_departamento,jardin_infantes,primario,secundario
681,02106,,,1
682,02106,,,1
683,02112,1,,
684,02115,,1,
685,02109,,1,
686,02110,,1,
687,02109,,1,
688,02109,,1,
689,02106,,1,
690,02105,1,1,
691,02106,,,1
693,02101,1,1,1
694,02101,1,1,
697,02104,,1,
698,02110,,1,
699,02110,,1,
700,02110,1,1,1
701,02110,,1,
702,02110,,,1
703,02109,,1,
704,02110,1,1,1
705,02112,1,1,1
706,02112,,1,
707,02112,1,1,1
708,02107,,1,
710,02101,1,1,
711,02101,1,,
712,02101,,1,
714,02101,,1,
715,02101,,,
716,02110,1,,
717,02113,,1,
718,02114,1,,
719,02113,1,,
720,02114,1,,
721,02114,1,,
722,02113,,1,
723,02114,,,1
724,02114,,1,
725,02114,1,,
726,02114,,1,
727,02114,,1,
728,02114,,1,
729,02103,1,,
730,02103,,1,
731,02107,,1,
732,02112,1,1,1
733,02112,1,1,1
734,02112,,1,
735,02112,,,1
736,02112,,1,
737,02106,1,1,1
738,02107,,1,
739,02107,,1,
740,02107,,1,
741,02107,1,1,
742,02107,1,1,1
743,02107,1,1,1
744,02114,,,1
745,02104,,,1
746,02103,,,1
747,02103,,,1
748,02104,,,1
749,02112,1,1,1
750,02107,,1,
751,02107,1,,
752,02111,1,,
753,02111,1,,
754,02107,1,,
755,02111,,,1
756,02111,,1,
758,02105,,,
759,02105,,,
760,02105,1,1,1
761,02111,1,1,
763,02111,,,1
764,02111,1,1,1
765,02111,,1,1
766,02103,,1,
767,02103,,,1
768,02103,1,1,1
769,02101,,,1
770,02102,,,1
772,02101,,1,
773,02101,,,
774,02106,,,1
775,02106,1,,
776,02106,1,,
777,02105,1,,
778,02106,1,1,1
779,02115,,1,
780,02108,1,1,
782,02106,,,1
783,02106,,1,
784,02111,,1,
785,02105,1,,
786,02115,1,,
787,02106,1,,
788,02106,,1,
789,02115,,1,
790,02106,,1,
791,02106,,,1
792,02107,,1,
793,02106,1,1,1
794,02106,1,1,1
795,02115,,1,
796,02103,,1,
797,02105,1,,
798,02103,,,
799,02110,1,1,
800,02111,,1,
801,02111,,1,
802,02110,,1,
803,02111,,1,
804,02111,1,,
806,02112,,1,
807,02112,1,1,1
808,02111,,1,
809,02111,1,1,
811,02105,1,,
812,02105,,1,
813,02111,,,1
814,02111,1,1,1
816,02107,,1,
817,02107,,1,
818,02107,1,,
819,02106,1,1,1
820,02109,,,1
821,02114,1,1,1
822,02102,1,1,
823,02114,1,1,
824,02114,1,1,1
825,02102,,,1
826,02102,1,1,
827,02102,,1,
830,02106,1,1,
832,02114,1,1,1
833,02109,,1,
834,02109,,1,
835,02109,,1,
836,02109,,,1
838,02109,1,,
839,02109,1,,
840,02109,1,,
841,02110,1,,
842,02109,1,,
843,02109,,1,
844,02110,,1,
845,02109,,1,
846,02109,,1,
847,02111,,1,
849,02109,,1,
850,02111,,,1
852,02109,,1,
853,02109,,,1
854,02109,1,,
857,02109,,,1
858,02109,1,1,1
859,02109,,1,
861,02114,1,1,1
862,02114,,,1
863,02114,1,1,1
865,02113,1,,
866,02114,1,,
867,02115,1,,
868,02115,1,,
869,02103,1,1,1
870,02103,1,1,1
871,02102,,,1
872,02103,,,1
873,02107,1,1,1
874,02110,1,1,1
875,02110,,1,
876,02111,1,1,1
881,02111,1,1,1
882,02111,,,1
884,02111,1,1,1
885,02115,,,
886,02111,,1,
887,02111,,1,
888,02105,,1,
889,02105,,,1
890,02105,1,1,1
891,02105,1,,
892,02105,1,,
893,02105,1,,
894,02114,1,1,1
895,02113,1,1,
897,02114,1,1,1
898,02114,,1,
899,02114,,1,
900,02111,1,1,1
901,02112,,1,
902,02112,,,1
903,02112,,,1
904,02112,,1,
905,02112,1,,
906,02112,1,1,
907,02112,1,1,1
908,02115,,1,
909,02112,1,,
911,02112,,1,
912,02112,,1,
913,02105,1,1,1
914,02105,1,1,1
915,02113,1,1,1
916,02114,,1,
917,02114,1,,
918,02111,1,1,1
919,02111,,1,
921,02107,,1,
922,02111,,1,
923,02115,,1,
924,02115,,,1
925,02115,,,1
927,02112,,1,
928,02112,,1,
930,02114,,,
931,02113,,,
932,02114,,,
933,02112,1,,
935,02106,,1,
936,02106,,1,
937,02107,1,,
938,02111,,1,
941,02114,,1,
942,02115,,,1
944,02114,1,1,1
945,02114,,,1
946,02115,1,,
947,02112,,1,
948,02112,,1,
949,02112,1,1,1
950,02112,1,,
951,02112,1,,
952,02112,1,,
953,02112,1,,
954,02114,,,1
955,02114,1,1,1
956,02113,1,1,
957,02102,1,1,1
959,02108,1,,
960,02108,1,,
961,02108,1,,
962,02108,1,,
963,02108,,1,
966,02108,,,1
971,02113,1,1,
972,02113,,1,
976,02110,,,
981,02107,,,1
982,02113,,1,
983,02113,,1,
984,02114,,1,
986,02108,,,1
987,02108,,1,
988,02108,,1,
989,02108,1,1,1
990,02108,1,,
991,02108,1,1,1
992,02108,,1,
993,02108,,1,
995,02108,,1,
996,02101,,,
1000,02106,,1,
1001,02106,,1,
1002,02103,,,
1008,02108,1,1,1
1012,02106,,,
1016,02101,,,
1017,02101,,1,
1019,02108,,1,
1020,02108,,1,
1021,02108,1,,
1022,02108,,,1
1025,02101,1,,
1026,02101,,1,
1027,02101,1,1,1
1028,02101,,,1
1029,02108,,,1
1030,02109,,,
1031,02105,,,
1032,02115,1,1,1
1037,02101,,1,1
1038,02103,,1,
1039,02103,1,1,1
1040,02101,,,
1041,02101,,1,
1042,02103,,,
1044,02101,1,,
1045,02102,,1,
1046,02102,,1,
1047,02102,,1,
1048,02103,,,1
1050,02102,1,,
1051,02102,,1,
1052,02109,,1,
1053,02109,,1,
1054,02109,,,1
1055,02109,,,1
1056,02108,1,1,1
1057,02109,,1,
1058,02105,,,
1059,02106,,,
1063,02101,,,
1064,02101,,,1
1065,02101,,,
1066,02101,1,1,1
1067,02103,1,1,1
1068,02104,,1,
1069,02104,1,,
1070,02104,,,1
1071,02112,,1,
1072,02112,1,1,1
1074,02110,1,1,1
1075,02110,,1,
1076,02107,1,1,1
1077,02107,1,1,1
1078,02107,,1,
1079,02107,1,,
1080,02107,1,,
1081,02107,1,1,1
1082,02107,1,1,1
1083,02107,,1,
1084,02107,,,1
1085,02110,1,,
1086,02110,1,,
1087,02110,1,,
1088,02111,1,,
1089,02111,1,,
1090,02107,,1,
1091,02113,1,1,1
1092,02113,1,1,1
1093,02113,,1,
1094,02112,1,1,1
1095,02113,1,,
1096,02113,,1,
1097,02113,,1,
1098,02113,,1,1
1100,02110,,1,
1101,02104,,,1
1102,02104,1,1,1
1103,02110,1,1,1
1104,02112,1,1,1
1105,02105,1,1,1
1106,02105,,,1
1107,02105,,,
1108,02105,1,1,1
1109,02107,,,1
1110,02110,1,1,1
1111,02110,,,1
1112,02110,,,1
1113,02101,,,1
1114,02103,1,1,1
1115,02102,,,1
1118,02101,,1,
1119,02101,1,1,1
1120,02101,,1,
1122,02101,,1,
1123,02101,,,1
1124,02113,,,1
1125,02113,1,1,1
1126,02107,,,1
1127,02107,1,1,1
1128,02107,1,1,1
1129,02110,,,1
1130,02103,,1,
1131,02103,,1,
1132,02105,1,1,
1133,02111,,1,
1134,02103,,1,
1135,02103,,1,
1136,02103,,1,
